Cadence Cyclery
Profit and Loss Detail
"January 1 - December 31, 2025"

,Date,Transaction Type,Num,Name,Memo/Description,Split,Amount
Income,,,,,,,
Bike Sales,,,,,,,
,01/31/2025,Sales Receipt,1001,,Bike sale,Checking,"4,917.68"
,01/13/2025,Sales Receipt,1002,,Bike sale,Checking,"3,023.71"
,01/15/2025,Sales Receipt,1003,,Bike sale,Checking,"4,601.55"
,02/16/2025,Sales Receipt,1004,,Bike sale,Checking,"2,448.44"
,02/21/2025,Sales Receipt,1005,,Bike sale,Checking,"3,538.01"
,02/10/2025,Sales Receipt,1006,,Bike sale,Checking,"2,252.02"
,02/04/2025,Sales Receipt,1007,,Bike sale,Checking,"2,399.85"
,02/03/2025,Sales Receipt,1008,,Bike sale,Checking,"3,298.28"
,03/29/2025,Sales Receipt,1009,,Bike sale,Checking,"4,436.21"
,03/09/2025,Sales Receipt,1010,,Bike sale,Checking,"5,393.52"
,03/06/2025,Sales Receipt,1011,,Bike sale,Checking,"2,823.19"
,03/27/2025,Sales Receipt,1012,,Bike sale,Checking,"4,232.51"
,03/20/2025,Sales Receipt,1013,,Bike sale,Checking,"4,855.67"
,04/19/2025,Sales Receipt,1014,,Bike sale,Checking,"7,277.14"
,04/09/2025,Sales Receipt,1015,,Bike sale,Checking,"14,200.72"
,04/06/2025,Sales Receipt,1016,,Bike sale,Checking,"7,510.28"
,05/30/2025,Sales Receipt,1017,,Bike sale,Checking,"10,485.35"
,05/08/2025,Sales Receipt,1018,,Bike sale,Checking,"10,708.67"
,05/04/2025,Sales Receipt,1019,,Bike sale,Checking,"12,811.30"
,06/20/2025,Sales Receipt,1020,,Bike sale,Checking,"17,628.24"
,06/02/2025,Sales Receipt,1021,,Bike sale,Checking,"16,098.35"
,07/01/2025,Sales Receipt,1022,,Bike sale,Checking,"11,346.47"
,07/21/2025,Sales Receipt,1023,,Bike sale,Checking,"8,015.44"
,07/24/2025,Sales Receipt,1024,,Bike sale,Checking,"10,741.16"
,08/21/2025,Sales Receipt,1025,,Bike sale,Checking,"9,199.01"
,08/05/2025,Sales Receipt,1026,,Bike sale,Checking,"7,842.17"
,08/02/2025,Sales Receipt,1027,,Bike sale,Checking,"10,553.29"
,09/25/2025,Sales Receipt,1028,,Bike sale,Checking,"9,343.05"
,09/29/2025,Sales Receipt,1029,,Bike sale,Checking,"15,185.37"
,10/19/2025,Sales Receipt,1030,,Bike sale,Checking,"11,339.97"
,10/13/2025,Sales Receipt,1031,,Bike sale,Checking,"9,286.21"
,11/12/2025,Sales Receipt,1032,,Bike sale,Checking,"10,335.29"
,11/15/2025,Sales Receipt,1033,,Bike sale,Checking,"5,831.17"
,12/15/2025,Sales Receipt,1034,,Bike sale,Checking,"4,616.47"
,12/19/2025,Sales Receipt,1035,,Bike sale,Checking,"4,342.61"
,12/15/2025,Sales Receipt,1036,,Bike sale,Checking,"5,813.72"
,07/31/2025,Refund,1037,,Customer refund,Checking,(214.12)
Total for Bike Sales,,,,,,,"278,517.97"
Service & Labor,,,,,,,
,01/20/2025,Sales Receipt,1038,,Shop service,Checking,906.98
,01/08/2025,Sales Receipt,1039,,Shop service,Checking,"1,661.85"
,01/02/2025,Sales Receipt,1040,,Shop service,Checking,865.25
,01/23/2025,Sales Receipt,1041,,Shop service,Checking,"1,774.75"
,02/08/2025,Sales Receipt,1042,,Shop service,Checking,"1,110.66"
,02/12/2025,Sales Receipt,1043,,Shop service,Checking,"1,174.83"
,02/12/2025,Sales Receipt,1044,,Shop service,Checking,898.77
,02/10/2025,Sales Receipt,1045,,Shop service,Checking,"1,248.97"
,02/23/2025,Sales Receipt,1046,,Shop service,Checking,"1,354.36"
,03/04/2025,Sales Receipt,1047,,Shop service,Checking,"1,374.97"
,03/26/2025,Sales Receipt,1048,,Shop service,Checking,"2,373.76"
,03/19/2025,Sales Receipt,1049,,Shop service,Checking,"1,500.19"
,03/09/2025,Sales Receipt,1050,,Shop service,Checking,"1,913.90"
,03/09/2025,Sales Receipt,1051,,Shop service,Checking,"1,865.84"
,04/03/2025,Sales Receipt,1052,,Shop service,Checking,"3,794.12"
,04/13/2025,Sales Receipt,1053,,Shop service,Checking,"4,824.49"
,04/28/2025,Sales Receipt,1054,,Shop service,Checking,"3,419.59"
,05/08/2025,Sales Receipt,1055,,Shop service,Checking,"3,203.91"
,05/25/2025,Sales Receipt,1056,,Shop service,Checking,"2,406.56"
,05/02/2025,Sales Receipt,1057,,Shop service,Checking,"3,037.38"
,05/04/2025,Sales Receipt,1058,,Shop service,Checking,"2,866.16"
,05/20/2025,Sales Receipt,1059,,Shop service,Checking,"2,607.72"
,06/14/2025,Sales Receipt,1060,,Shop service,Checking,"3,863.79"
,06/13/2025,Sales Receipt,1061,,Shop service,Checking,"2,178.48"
,06/06/2025,Sales Receipt,1062,,Shop service,Checking,"1,761.62"
,06/11/2025,Sales Receipt,1063,,Shop service,Checking,"2,424.38"
,06/08/2025,Sales Receipt,1064,,Shop service,Checking,"3,777.70"
,07/03/2025,Sales Receipt,1065,,Shop service,Checking,"4,716.23"
,07/13/2025,Sales Receipt,1066,,Shop service,Checking,"4,770.66"
,07/09/2025,Sales Receipt,1067,,Shop service,Checking,"3,014.31"
,08/06/2025,Sales Receipt,1068,,Shop service,Checking,"4,079.87"
,08/29/2025,Sales Receipt,1069,,Shop service,Checking,"3,564.22"
,08/17/2025,Sales Receipt,1070,,Shop service,Checking,"3,815.35"
,09/11/2025,Sales Receipt,1071,,Shop service,Checking,"5,503.95"
,09/20/2025,Sales Receipt,1072,,Shop service,Checking,"4,682.21"
,10/07/2025,Sales Receipt,1073,,Shop service,Checking,"2,474.59"
,10/26/2025,Sales Receipt,1074,,Shop service,Checking,"1,520.59"
,10/02/2025,Sales Receipt,1075,,Shop service,Checking,"2,279.29"
,10/15/2025,Sales Receipt,1076,,Shop service,Checking,"2,291.17"
,11/29/2025,Sales Receipt,1077,,Shop service,Checking,"3,527.73"
,11/05/2025,Sales Receipt,1078,,Shop service,Checking,"3,185.88"
,12/20/2025,Sales Receipt,1079,,Shop service,Checking,"3,480.01"
,12/20/2025,Sales Receipt,1080,,Shop service,Checking,"2,654.84"
Total for Service & Labor,,,,,,,"115,751.88"
Accessory Sales,,,,,,,
,01/18/2025,Sales Receipt,1081,,Accessories,Checking,"2,553.31"
,01/12/2025,Sales Receipt,1082,,Accessories,Checking,"1,903.00"
,02/02/2025,Sales Receipt,1083,,Accessories,Checking,"1,199.39"
,02/23/2025,Sales Receipt,1084,,Accessories,Checking,"1,055.00"
,02/24/2025,Sales Receipt,1085,,Accessories,Checking,"1,416.04"
,02/06/2025,Sales Receipt,1086,,Accessories,Checking,"1,281.03"
,03/03/2025,Sales Receipt,1087,,Accessories,Checking,"1,644.62"
,03/31/2025,Sales Receipt,1088,,Accessories,Checking,"1,554.17"
,03/29/2025,Sales Receipt,1089,,Accessories,Checking,"1,387.25"
,03/04/2025,Sales Receipt,1090,,Accessories,Checking,"1,391.53"
,03/13/2025,Sales Receipt,1091,,Accessories,Checking,"1,746.70"
,04/17/2025,Sales Receipt,1092,,Accessories,Checking,"2,474.53"
,04/15/2025,Sales Receipt,1093,,Accessories,Checking,"2,808.44"
,04/22/2025,Sales Receipt,1094,,Accessories,Checking,"2,552.79"
,04/01/2025,Sales Receipt,1095,,Accessories,Checking,"2,463.26"
,05/01/2025,Sales Receipt,1096,,Accessories,Checking,"3,467.41"
,05/09/2025,Sales Receipt,1097,,Accessories,Checking,"5,425.42"
,05/09/2025,Sales Receipt,1098,,Accessories,Checking,"3,188.72"
,06/02/2025,Sales Receipt,1099,,Accessories,Checking,"2,031.82"
