Cadence Cyclery
Item Sales
"Jan 1, 2025 - Dec 31, 2025"

Category,Item,Variation,SKU,Qty Sold,Gross Sales,Discounts,Net Sales,Cost of Goods Sold,Gross Profit,Margin,Tax
Bikes,Trek Domane AL 2 Road Bike,56cm,BK-TRK-DOM2,29,55071.00,421.07,54649.93,45182.00,9467.93,17.3%,4426.64
Bikes,Specialized Sirrus 2.0 Hybrid,M,BK-SPZ-SIR2,62,46438.00,1369.81,45068.19,38130.00,6938.19,15.4%,3650.52
Bikes,Cannondale Quick 4 Hybrid,L,BK-CDL-QK4,50,34950.00,549.76,34400.24,28650.00,5750.24,16.7%,2786.42
Bikes,Trek Marlin 5 Mountain Bike,17.5in,BK-TRK-MRL5,67,46833.00,1724.70,45108.30,38391.00,6717.30,14.9%,3653.77
Bikes,Specialized Rockhopper 27.5,M,BK-SPZ-RKH,38,32262.00,263.20,31998.80,26448.00,5550.80,17.3%,2591.90
Bikes,Trek Precaliber 20 Kids,20in,BK-TRK-PC20,44,17556.00,0.00,17556.00,14388.00,3168.00,18.0%,1422.04
Bikes,Electra Townie 7D Cruiser,OSFA,BK-ELC-TWN7,33,20757.00,688.42,20068.58,17028.00,3040.58,15.2%,1625.55
Bikes,Trek FX 2 Disc Fitness,M,BK-TRK-FX2,41,30709.00,826.91,29882.09,25174.00,4708.09,15.8%,2420.45
Components,Continental Gatorskin Tire 700x28,,CM-CON-GTR28,225,14400.00,374.15,14025.85,8325.00,5700.85,40.6%,1136.09
Components,Shimano Deore 11-Speed Cassette,,CM-SHM-DEO11,176,9152.00,0.00,9152.00,5280.00,3872.00,42.3%,741.31
Components,SRAM PC-1110 Chain 11sp,,CM-SRM-PC1110,275,7700.00,131.37,7568.63,4400.00,3168.63,41.9%,613.06
Components,Shimano Deore Brake Pads,,CM-SHM-BPAD,358,7876.00,205.89,7670.11,4475.00,3195.11,41.7%,621.28
Components,Bontrager Standard Inner Tube,700c,CM-BON-TUBE,958,8143.00,0.00,8143.00,4406.80,3736.20,45.9%,659.58
Components,WTB Volt Saddle,,CM-WTB-VOLT,102,6018.00,105.32,5912.68,3468.00,2444.68,41.3%,478.93
Components,Shimano Deore Rear Derailleur,,CM-SHM-RD,87,4698.00,0.00,4698.00,2697.00,2001.00,42.6%,380.54
Components,Bontrager Line Comp Grips,,CM-BON-GRIP,164,3936.00,0.00,3936.00,2214.00,1722.00,43.8%,318.82
Accessories,Bontrager Ion 200 RT Front Light,,AC-BON-ION200,346,13836.54,0.00,13836.54,7196.80,6639.74,48.0%,1120.76
Accessories,Kryptonite Evolution U-Lock,,AC-KRY-EVO,211,15822.89,300.06,15522.83,8229.00,7293.83,47.0%,1257.35
Accessories,CamelBak Podium 24oz Bottle,,AC-CAM-POD24,1012,12144.00,404.29,11739.71,6274.40,5465.31,46.6%,950.92
Accessories,Topeak JoeBlow Floor Pump,,AC-TPK-JBLOW,158,8688.42,80.18,8608.24,4518.80,4089.44,47.5%,697.27
Accessories,Blackburn Outpost Frame Bag,,AC-BLK-OUT,142,6388.58,96.52,6292.06,3322.80,2969.26,47.2%,509.66
Accessories,Wahoo RPM Cadence Sensor,,AC-WHO-RPM,185,7398.15,64.42,7333.73,4070.00,3263.73,44.5%,594.03
Accessories,Bontrager Comp Multi-Tool,,AC-BON-MTOOL,236,7077.64,0.00,7077.64,3681.60,3396.04,48.0%,573.29
Accessories,Garmin Edge 130 Plus Computer,,AC-GRM-E130,73,14599.27,0.00,14599.27,9344.00,5255.27,36.0%,1182.54
Accessories,Abus Bordo Folding Lock,,AC-ABS-BORDO,89,8009.11,207.38,7801.73,4183.00,3618.73,46.4%,631.94
Accessories,Fizik Bar Tape,,AC-FZK-TAPE,251,6272.49,55.15,6217.34,3237.90,2979.44,47.9%,503.60
Apparel,Castelli Endurance Jersey,L,AP-CAS-ENDJ,169,15208.31,277.62,14930.69,7300.80,7629.89,51.1%,1209.39
Apparel,Giro Fixture MIPS Helmet,M/L,AP-GIR-FIX,278,18067.22,594.22,17473.00,9396.40,8076.60,46.2%,1415.31
Apparel,Pearl Izumi Select Gloves,L,AP-PRL-SELG,222,7767.78,70.06,7697.72,3729.60,3968.12,51.5%,623.52
Apparel,DeFeet Aireator Socks,L,AP-DEF-AIR,497,7947.03,66.17,7880.86,3578.40,4302.46,54.6%,638.35
Apparel,Bontrager Circuit Bib Shorts,M,AP-BON-CIRB,103,11328.97,334.21,10994.76,5438.40,5556.36,50.5%,890.58
Apparel,Gore Windstopper Jacket,L,AP-GOR-WIND,61,9149.39,0.00,9149.39,4758.00,4391.39,48.0%,741.10
Apparel,Bontrager Starvos Helmet,M,AP-BON-STAR,80,9599.20,221.80,9377.40,4992.00,4385.40,46.8%,759.57
Service,Basic Tune-Up,,SV-TUNE-BAS,496,44144.00,0.00,44144.00,6944.00,37200.00,84.3%,0.00
Service,Flat Tire Repair,,SV-FLAT,705,14100.00,249.15,13850.85,4230.00,9620.85,69.5%,0.00
Service,Hydraulic Brake Bleed,,SV-BRK-BLEED,186,11160.00,318.19,10841.81,2232.00,8609.81,79.4%,0.00
Service,Wheel True,,SV-WHEEL-TRUE,310,7750.00,58.83,7691.17,930.00,6761.17,87.9%,0.00
Service,Full Overhaul Service,,SV-OVERHAUL,107,23433.00,406.45,23026.55,4708.00,18318.55,79.6%,0.00
Service,New Bike Build & Setup,,SV-BUILD,139,16680.00,482.50,16197.50,2502.00,13695.50,84.6%,0.00
Total,,,,8765,643070.99,10947.80,632123.19,383454.70,248668.49,39.3%,41826.08
