product_id,product_name,category,supplier,unit_cost,retail_price,current_stock,reorder_point,date_first_stocked,is_discontinued,sale_id,sold_at,staff_at_time,qty,unit_price,discount,payment_type,line_revenue,line_profit,refund_amount,refund_reason
317,Ceramic CER-066,ceramics,Kiln & Co,24.55,54.55,0,14,2026-03-31,0,,,,,,,,,,,
323,Ceramic CER-072,ceramics,Kiln & Co,23.98,53.28,0,10,2025-10-20,0,,,,,,,,,,,
805,Furnitur FUR-054,furniture,Timberworks,48.04,80.07,0,7,2026-01-26,0,,,,,,,,,,,
813,Furnitur FUR-062,furniture,Timberworks,48.49,80.81,0,11,2025-12-13,0,,,,,,,,,,,
826,Furnitur FUR-075,furniture,Timberworks,94.74,157.9,0,15,2026-06-09,0,,,,,,,,,,,
832,Furnitur FUR-081,furniture,Timberworks,55.92,93.2,0,10,2026-04-08,0,,,,,,,,,,,
869,Furnitur FUR-118,furniture,Timberworks,48.38,80.64,0,8,2026-01-16,0,,,,,,,,,,,
873,Furnitur FUR-122,furniture,Timberworks,77.52,129.2,0,9,2025-07-21,0,,,,,,,,,,,
879,Furnitur FUR-128,furniture,Timberworks,65.5,109.17,0,10,2025-11-29,0,,,,,,,,,,,
1147,Seasona SEA-246,seasonal,Seasonal Source,16.5,25.39,0,13,2026-06-06,0,,,,,,,,,,,
1201,Ceramic CER-000,ceramics,Kiln & Co,19.03,42.29,0,10,2026-02-23,0,,,,,,,,,,,
575,Card CAR-124,cards,Paperhaus,3.1,5.63,30,15,2026-02-19,0,7669,2025-06-21 08:15:00,,2,5.63,0.0,cash,11.26,5.06,,
77,Candle CAN-076,candles,Aurora Home,14.39,19.19,19,12,2025-08-27,0,1023,2025-06-21 08:30:00,,2,19.19,0.0,card,38.38,9.6,,
13,Candle CAN-012,candles,Aurora Home,17.2,22.93,4,5,2026-06-16,0,3397,2025-06-21 09:00:00,2,3,22.93,0.0,card,68.79,17.19,,
59,Candle CAN-058,candles,Aurora Home,13.73,18.3,28,7,2026-03-22,0,199,2025-06-21 09:00:00,2,2,18.3,0.0,card,36.6,9.14,,
492,Card CAR-041,cards,Paperhaus,4.37,7.94,15,12,2025-08-31,0,8220,2025-06-21 09:00:00,2,2,7.94,0.0,card,15.88,7.14,,
132,Candle CAN-131,candles,Aurora Home,14.2,18.93,0,6,2026-05-22,0,3761,2025-06-21 09:15:00,2,1,18.93,0.0,card,18.93,4.73,,
533,Card CAR-082,cards,Paperhaus,2.3,4.18,36,13,2025-07-17,0,16770,2025-06-21 10:15:00,2,2,4.18,0.0,card,8.36,3.76,,
645,Card CAR-194,cards,Paperhaus,3.38,6.14,3,9,2025-09-26,0,7667,2025-06-21 10:15:00,2,2,6.14,0.0,cash,12.28,5.52,,
696,Card CAR-245,cards,Paperhaus,2.27,4.12,28,12,2025-11-07,0,13176,2025-06-21 10:30:00,2,1,4.12,0.0,card,4.12,1.85,,
